,videoname,labels
0,--0l35AkU34_000062_000072.mp4,sipping cup
1,--WckmtKBpc_000017_000027.mp4,tiptoeing
2,-0DTZ_WbuEQ_000013_000023.mp4,fencing (sport)
3,-0ES_MVrg1A_000106_000116.mp4,building sandcastle
4,-0bxrYDcTiw_000162_000172.mp4,karaoke
5,-0khAHlKFlk_000056_000066.mp4,threading needle
6,-0tCqGtAVmY_000091_000101.mp4,playing pinball
7,-1OQRkDTdd4_000017_000027.mp4,rolling pastry
8,-2k1hnf1BdA_000000_000010.mp4,breaking boards
9,-335_2ldGZ4_000031_000041.mp4,blowdrying hair
10,-36w146LjVo_000036_000046.mp4,chopping meat
11,-38C3Y89Ep0_000027_000037.mp4,casting fishing line
12,-3LTIY_lh4o_000837_000847.mp4,home roasting coffee
13,-3Q_0ZCPj2A_000075_000085.mp4,poking bellybutton
14,-3Ry3OruG6s_000008_000018.mp4,playing lute
15,-3WESQwMIb4_000030_000040.mp4,using a microscope
16,-3bB-fgYvYs_000000_000010.mp4,playing lute
17,-3fUqkMBLDo_000012_000022.mp4,pushing wheelbarrow
18,-41RJ7rJwAA_000000_000010.mp4,winking
19,-4KJAZlzMRQ_000035_000045.mp4,skiing mono
20,-4KROO_-M4A_000000_000010.mp4,swinging baseball bat
21,-4NGhihabQk_000034_000044.mp4,jumping bicycle
22,-4s2fL2o2do_000013_000023.mp4,passing soccer ball
23,-4smwSiYavM_000012_000022.mp4,gospel singing in church
24,-5IZS8450iI_000000_000010.mp4,laying concrete
25,-5Rb2JMJtXk_000113_000123.mp4,chiseling stone
26,-68XEFNyaJQ_000086_000096.mp4,fly tying
27,-6V1GdS-0Tg_000121_000131.mp4,putting in contact lenses
28,-6Whmtridao_000011_000021.mp4,putting on sari
29,-6etbj6hzM0_000044_000054.mp4,putting in contact lenses
30,-6iK0MlUtf4_002810_002820.mp4,needle felting
31,-79YgFexJcU_000135_000145.mp4,laying concrete
32,-7G7LqAsStQ_000000_000010.mp4,tiptoeing
33,-7RTUhhb7OE_000027_000037.mp4,wading through water
34,-7bH1Pj8Csk_000035_000045.mp4,sucking lolly
35,-8DvZ48b23E_000214_000224.mp4,shining flashlight
36,-8Eus34farM_000004_000014.mp4,ironing hair
37,-8QBDz7VJBs_000133_000143.mp4,cooking scallops
38,-8kL5b00Du8_000003_000013.mp4,sewing
39,-8vg4ePPTD8_000007_000017.mp4,ice swimming
40,-9MNrY9-iVo_000000_000010.mp4,waving hand
41,-9T3rk12TCI_000071_000081.mp4,dyeing eyebrows
42,-9_wOuNO4IU_000023_000033.mp4,threading needle
43,-9amUf_BLZI_000016_000026.mp4,playing laser tag
44,-9jX3tl7wzk_000263_000273.mp4,playing laser tag
45,-9oTt1ycxPk_000024_000034.mp4,delivering mail
