,videoname,labels
0,--0l35AkU34_000062_000072.mp4,sipping cup
1,--71SekUwOA_000005_000015.mp4,using inhaler
2,--WckmtKBpc_000017_000027.mp4,tiptoeing
3,-0DTZ_WbuEQ_000013_000023.mp4,fencing (sport)
4,-0bxrYDcTiw_000162_000172.mp4,karaoke
5,-0khAHlKFlk_000056_000066.mp4,threading needle
6,-1OQRkDTdd4_000017_000027.mp4,rolling pastry
7,-2k1hnf1BdA_000000_000010.mp4,breaking boards
8,-2tHYutKYg4_000145_000155.mp4,weaving fabric
9,-2wGjIV21yo_000058_000068.mp4,tightrope walking
10,-2xoeu0GO9U_000043_000053.mp4,shopping
11,-335_2ldGZ4_000031_000041.mp4,blowdrying hair
12,-36w146LjVo_000036_000046.mp4,chopping meat
13,-38C3Y89Ep0_000027_000037.mp4,casting fishing line
14,-3LTIY_lh4o_000837_000847.mp4,home roasting coffee
15,-3Q_0ZCPj2A_000075_000085.mp4,poking bellybutton
16,-3Ry3OruG6s_000008_000018.mp4,playing lute
17,-3WESQwMIb4_000030_000040.mp4,using a microscope
18,-3bB-fgYvYs_000000_000010.mp4,playing lute
19,-3fUqkMBLDo_000012_000022.mp4,pushing wheelbarrow
20,-3yC-EmIy0A_000001_000011.mp4,pouring beer
21,-41RJ7rJwAA_000000_000010.mp4,winking
22,-4KJAZlzMRQ_000035_000045.mp4,skiing mono
23,-4KROO_-M4A_000000_000010.mp4,swinging baseball bat
24,-4NGhihabQk_000034_000044.mp4,jumping bicycle
25,-4s2fL2o2do_000013_000023.mp4,passing soccer ball
26,-5IZS8450iI_000000_000010.mp4,laying concrete
27,-5Rb2JMJtXk_000113_000123.mp4,chiseling stone
28,-68XEFNyaJQ_000086_000096.mp4,fly tying
29,-6V1GdS-0Tg_000121_000131.mp4,putting in contact lenses
30,-6Whmtridao_000011_000021.mp4,putting on sari
31,-6etbj6hzM0_000044_000054.mp4,putting in contact lenses
32,-6iK0MlUtf4_002810_002820.mp4,needle felting
33,-79YgFexJcU_000135_000145.mp4,laying concrete
34,-7G7LqAsStQ_000000_000010.mp4,tiptoeing
35,-7RTUhhb7OE_000027_000037.mp4,wading through water
36,-7bH1Pj8Csk_000035_000045.mp4,sucking lolly
37,-8Eus34farM_000004_000014.mp4,ironing hair
38,-8GZiNIdyZc_000407_000417.mp4,assembling bicycle
39,-8QBDz7VJBs_000133_000143.mp4,cooking scallops
40,-8vg4ePPTD8_000007_000017.mp4,ice swimming
41,-9MNrY9-iVo_000000_000010.mp4,waving hand
42,-9T3rk12TCI_000071_000081.mp4,dyeing eyebrows
43,-9_wOuNO4IU_000023_000033.mp4,threading needle
44,-9amUf_BLZI_000016_000026.mp4,playing laser tag
45,-9jX3tl7wzk_000263_000273.mp4,playing laser tag
46,-9oTt1ycxPk_000024_000034.mp4,delivering mail
47,-A7WgRhZMhM_000244_000254.mp4,playing lute
48,-ALMtKD-46M_000018_000028.mp4,skipping stone
49,-ASYnOEgli8_000000_000010.mp4,arguing
50,-BdXM23DbEQ_000052_000062.mp4,card stacking
51,-BdonAovQQU_000246_000256.mp4,home roasting coffee
52,-BgI2ZPiwZg_000852_000862.mp4,ironing hair
53,-CC2X8Vs8J4_000001_000011.mp4,using a paint roller
54,-CEP6Thu8-Y_000071_000081.mp4,scrubbing face
55,-CGpeCG8Oo0_000066_000076.mp4,cumbia
56,-CYs6Vjea38_000000_000010.mp4,crossing eyes
57,-Ce_dNOSpro_000064_000074.mp4,cracking knuckles
58,-ClKx5jJ260_000021_000031.mp4,breaking boards
59,-CvX2TfDtag_000109_000119.mp4,using a wrench
60,-DSnvWleKtE_000061_000071.mp4,leatherworking
61,-Dad_cQjZTM_000151_000161.mp4,bulldozing
62,-EEjr5ReW58_000093_000103.mp4,making paper aeroplanes
63,-EFdi8SWJv4_000184_000194.mp4,scrubbing face
64,-EH8QlGv1PE_000500_000510.mp4,card throwing
65,-EuG4kvsD64_000000_000010.mp4,crossing eyes
66,-F7qK7vpvkI_000037_000047.mp4,trimming shrubs
67,-Fo1kkviPZs_000000_000010.mp4,carving ice
68,-G2XgFnEudk_000085_000095.mp4,preparing salad
69,-G46SwAitFw_000059_000069.mp4,archaeological excavation
70,-GNApu5BcuI_000000_000010.mp4,sucking lolly
71,-H3a2Lf53HY_000087_000097.mp4,leatherworking
72,-HCkNu4O_7Q_000138_000148.mp4,laying stone
73,-HO9Bh1MYoA_000018_000028.mp4,fencing (sport)
74,-H_CM6O-3k4_000000_000010.mp4,roasting marshmallows
75,-Ha3d3uD8q8_000551_000561.mp4,playing ping pong
76,-HjxCgJAa64_000000_000010.mp4,using a sledge hammer
77,-IPckajcpnE_000063_000073.mp4,opening wine bottle
78,-IgPSGenQBY_000040_000050.mp4,card throwing
79,-IoBG8wErD4_000000_000010.mp4,delivering mail
80,-J0kG2K2MPE_000000_000010.mp4,directing traffic
81,-J6e6tmHfG0_000077_000087.mp4,sword swallowing
82,-JaQQfHXkDo_000068_000078.mp4,square dancing
83,-K2LxGKPV9c_000104_000114.mp4,lawn mower racing
84,-K5SkwWzFWI_000014_000024.mp4,head stand
85,-KGjAqrjkAk_000128_000138.mp4,fly tying
86,-KeCAxl5gPM_000214_000224.mp4,using a microscope
87,-Ks-yFgQreg_000000_000010.mp4,crossing eyes
88,-KtI1janztU_000013_000023.mp4,card throwing
89,-L6Mldtq6m8_000021_000031.mp4,playing maracas
90,-L7B14mVX4Q_002181_002191.mp4,curling (sport)
91,-L9-fjz4og0_000002_000012.mp4,cumbia
92,-L9M5djRitA_000002_000012.mp4,raising eyebrows
93,-LE2wN64tJw_000000_000010.mp4,backflip (human)
94,-LUM9S2RGvE_000154_000164.mp4,flint knapping
95,-MQXHHEJOmA_000082_000092.mp4,building lego
96,-N6DX9AnrJc_000033_000043.mp4,home roasting coffee
97,-NEOFiRd1Fw_000000_000010.mp4,sipping cup
98,-NMSu3Sn_JU_000048_000058.mp4,backflip (human)
99,-NX7xWAw76k_000011_000021.mp4,riding snow blower
100,-Nl_gTB7eqY_000058_000068.mp4,putting in contact lenses
101,-NwXSkO8sBA_000142_000152.mp4,laying concrete
102,-OCUrxo2EY8_000013_000023.mp4,breaking boards
103,-OLTTrFUVw0_000001_000011.mp4,looking at phone
104,-ORyWwcPOrE_000000_000010.mp4,licking
105,-OreJhjURmY_000000_000010.mp4,burping
106,-PMe2eGKBSY_000009_000019.mp4,huddling
107,-PYffD34PWY_000264_000274.mp4,making cheese
108,-PhRr1JjN1E_000106_000116.mp4,historical reenactment
109,-Pj4gcDWdUs_000012_000022.mp4,doing jigsaw puzzle
110,-Pr6rgEdgFw_000014_000024.mp4,jumping bicycle
111,-PuOVy-lgX4_000158_000168.mp4,ironing hair
112,-QNJqXxuyWc_000004_000014.mp4,bull fighting
113,-QXr-wBCrRs_000061_000071.mp4,playing darts
114,-QZr0_lfGfY_000060_000070.mp4,luge
115,-Qt5QslqYYg_000026_000036.mp4,staring
116,-R5JcpeGEDE_000000_000010.mp4,combing hair
117,-RU7uGk4xPA_000000_000010.mp4,licking
118,-R_DTTUTFEM_000009_000019.mp4,wading through water
119,-RpdazXaujs_000000_000010.mp4,cracking knuckles
120,-RyZK8kcaNs_000140_000150.mp4,lawn mower racing
121,-SE4pZDHDuQ_000236_000246.mp4,playing field hockey
122,-SFKILhN6sw_000000_000010.mp4,using a sledge hammer
123,-SIlsnRW0LI_000069_000079.mp4,laying tiles
124,-SLBwFxQO2c_000106_000116.mp4,playing field hockey
125,-SdDBGXUr44_000011_000021.mp4,curling (sport)
126,-SmMu6N0BsE_000056_000066.mp4,head stand
127,-SoQhbu3QAQ_000000_000010.mp4,shopping
128,-SyK22ea2ms_000023_000033.mp4,watching tv
129,-T21KsKBNJQ_000000_000010.mp4,trimming shrubs
130,-TYVOndl5Hk_000000_000010.mp4,raising eyebrows
131,-TZ9O4Q4SHk_000010_000020.mp4,playing maracas
132,-Tbr3eUEQ3Q_000130_000140.mp4,laying tiles
133,-Te_we0BgnQ_000134_000144.mp4,needle felting
134,-TkWd9iH6xU_000000_000010.mp4,wood burning (art)
135,-TpLVLl-pAY_000127_000137.mp4,arguing
136,-U48N9TQaLg_000065_000075.mp4,using a microscope
137,-UUq2B-f15Q_000118_000128.mp4,calculating
138,-VA6C95I5iI_000065_000075.mp4,licking
139,-Vbiw8lwmKk_000310_000320.mp4,flint knapping
140,-VgdLqVwagg_000005_000015.mp4,tightrope walking
141,-VkWLTpwlJA_000100_000110.mp4,contorting
142,-VlgCLGCz94_000073_000083.mp4,visiting the zoo
143,-VwqYdGeEyo_000000_000010.mp4,winking
144,-W22PDJAIEY_000051_000061.mp4,planing wood
145,-WGeRz644yI_000012_000022.mp4,pushing wheelbarrow
146,-WQUIYxP6cA_000229_000239.mp4,historical reenactment
147,-WbStLulf-Q_000000_000010.mp4,winking
148,-WlUhO3165Q_000156_000166.mp4,fly tying
149,-XFLL01HkhY_000025_000035.mp4,laying tiles
150,-XlcvNNtF6c_000000_000010.mp4,falling off chair
151,-XtwvHMqwPE_000016_000026.mp4,opening refrigerator
152,-XzuCWUd9jA_000076_000086.mp4,scrubbing face
153,-Y9fEet15io_000030_000040.mp4,skiing mono
154,-YmLVaSIn5A_000580_000590.mp4,visiting the zoo
155,-Z8IOZGVprw_000010_000020.mp4,making cheese
156,-ZBHMonUk1g_000000_000010.mp4,fencing (sport)
157,-Ztxlwlaqck_000012_000022.mp4,cumbia
158,-_MBsA0I4JM_000090_000100.mp4,alligator wrestling
159,-_ZUfqulNpg_000012_000022.mp4,shaping bread dough
160,-axJLWTx9eo_000043_000053.mp4,doing jigsaw puzzle
161,-b9Yq8Wub1E_000001_000011.mp4,jumping bicycle
162,-b_1RDLKhbg_000000_000010.mp4,playing darts
163,-bkXAdsJRC8_000037_000047.mp4,shuffling feet
164,-brtWq_qFT8_000099_000109.mp4,using a power drill
165,-buiYtcsRKw_000036_000046.mp4,packing
166,-c50MAq3UBI_000000_000010.mp4,tiptoeing
167,-cQmDgQJN60_000000_000010.mp4,breaking boards
168,-cwHfScDpbw_000000_000010.mp4,building lego
169,-cx7OktEe70_000009_000019.mp4,hand washing clothes
170,-dEc6CRjO0o_000061_000071.mp4,making bubbles
171,-db6NmpBshM_000077_000087.mp4,cumbia
172,-e92YmRi9gM_000018_000028.mp4,playing lute
173,-eSjkYVfhkc_000291_000301.mp4,sword swallowing
174,-ehUAegV4T4_000038_000048.mp4,planing wood
175,-etaYVxGIXY_000045_000055.mp4,bouncing on bouncy castle
176,-fCwVO0lxaQ_000008_000018.mp4,calculating
177,-fj8VeyiUxE_000000_000010.mp4,burping
178,-gBCLNB0CpY_000192_000202.mp4,fly tying
179,-gPyjrjCUAY_000711_000721.mp4,cumbia
180,-goqCP7Yx2Y_000000_000010.mp4,shopping
181,-h-YUPbrKSE_000105_000115.mp4,poking bellybutton
182,-hSkp-MmyZY_000109_000119.mp4,raising eyebrows
183,-hw-jjnMLg0_000202_000212.mp4,mushroom foraging
184,-i-BsQtJFFE_000183_000193.mp4,breathing fire
185,-i4RhicxyzI_000005_000015.mp4,blowing bubble gum
186,-iUvyoO-1ds_000000_000010.mp4,throwing tantrum
187,-idhXpJUc-A_000000_000010.mp4,cumbia
188,-imtc37doCw_000007_000017.mp4,head stand
189,-ioDNgX7MXY_000075_000085.mp4,sipping cup
190,-iyUrCAkHGQ_000033_000043.mp4,coloring in
191,-jONQEVxZ6o_000003_000013.mp4,cosplaying
192,-jObB0HKLGA_000021_000031.mp4,casting fishing line
193,-jd0tH83blE_000064_000074.mp4,contorting
194,-jf-uCIM5Ng_000058_000068.mp4,rope pushdown
195,-jsaUnVn9f4_000000_000010.mp4,opening door
196,-k9OsrAGjdQ_000016_000026.mp4,shopping
197,-kDuPmo_EpM_000064_000074.mp4,alligator wrestling
198,-kH8-SiuBvo_000021_000031.mp4,putting in contact lenses
199,-lGb04wxbB0_000000_000010.mp4,roasting marshmallows
200,-lQUjtEJEMw_000184_000194.mp4,visiting the zoo
201,-m5EgnvIT0A_000029_000039.mp4,battle rope training
202,-mLX0gGJROs_000010_000020.mp4,passing soccer ball
203,-mbcb4Hq3EY_000000_000010.mp4,using bagging machine
204,-nZHFOj7qzU_000060_000070.mp4,packing
205,-nuLy_ZQ-rs_000001_000011.mp4,roasting marshmallows
206,-oVlTLGwTUs_000019_000029.mp4,cosplaying
207,-okSCRCmVeU_000003_000013.mp4,capsizing
208,-ounJzhUZFg_000027_000037.mp4,repairing puncture
209,-pDsq9fDC-g_000564_000574.mp4,calculating
210,-pF73W3gbXo_000873_000883.mp4,home roasting coffee
211,-pfy57M0so4_000085_000095.mp4,blowdrying hair
212,-pk1lDVNpqA_000000_000010.mp4,delivering mail
213,-prOIiNuBkI_000049_000059.mp4,putting on shoes
214,-pz7vlC1o1s_000012_000022.mp4,laying concrete
215,-q2C7KDE7AQ_000037_000047.mp4,repairing puncture
216,-qm-vpDK8mo_000034_000044.mp4,using atm
217,-rLJKYexyHk_000069_000079.mp4,calculating
218,-sQDFi0QHCo_000000_000010.mp4,steer roping
219,-sR4_9GIbd0_000019_000029.mp4,bulldozing
220,-sSpecAqtuI_000125_000135.mp4,lifting hat
221,-sjK9q024SU_000003_000013.mp4,chopping meat
222,-so1Z92Puv0_000000_000010.mp4,calligraphy
223,-svuXhkbgaw_000144_000154.mp4,calculating
224,-tABREEk4j0_000045_000055.mp4,land sailing
225,-u1-ztPkk28_000000_000010.mp4,clam digging
226,-u7jDVOfvx8_000002_000012.mp4,card stacking
227,-vObTOtqe7w_000000_000010.mp4,opening refrigerator
228,-vlOZPzaO3M_000118_000128.mp4,longboarding
229,-vn3bJ0gXGA_000088_000098.mp4,fencing (sport)
230,-vtSA28DDDs_000000_000010.mp4,lifting hat
231,-w4k4wRl4Wk_000551_000561.mp4,historical reenactment
232,-wGrPG7t1Cs_000023_000033.mp4,lock picking
233,-wpxxRghpMo_000076_000086.mp4,opening wine bottle
234,-xhHtCjwU0U_000000_000010.mp4,falling off bike
235,-xs9A-zDf1Y_000018_000028.mp4,repairing puncture
236,-xz56grbo7U_000010_000020.mp4,sleeping
237,-y-5v_80yH4_000041_000051.mp4,carving ice
238,-yYwM2GJjQk_000013_000023.mp4,smashing
239,-ygFJnR5orU_000106_000116.mp4,using bagging machine
240,-yoUfRzYtZ0_000024_000034.mp4,watching tv
241,-yw2lFI-Ya4_000055_000065.mp4,tie dying
242,-zi8SmYqVFU_000000_000010.mp4,clam digging
243,-zpFyNuUYho_000043_000053.mp4,contorting
244,0-3pMKV1IzM_000567_000577.mp4,historical reenactment
245,0-5K9N5ri1E_000041_000051.mp4,wood burning (art)
246,0-XwfmaixJk_000004_000014.mp4,making cheese
247,0-bIHvnYCXY_000000_000010.mp4,directing traffic
248,00EEmKXgRtU_000000_000010.mp4,calculating
249,00oJ3UhXQig_000008_000018.mp4,cosplaying
250,00zL2qD9LiU_000047_000057.mp4,breathing fire
251,01awoTeca9o_000032_000042.mp4,lock picking
252,023qjp0toVI_000006_000016.mp4,bouncing on bouncy castle
253,027S5TivweY_000005_000015.mp4,tightrope walking
254,02DTn2vhV3A_000001_000011.mp4,sucking lolly
255,02kjo8Z4FCs_000003_000013.mp4,head stand
256,035dHSvjLKU_000001_000011.mp4,preparing salad
257,038RfHczEAs_000000_000010.mp4,rope pushdown
258,03Q0tEZeVVU_000007_000017.mp4,home roasting coffee
259,03eUk7ZnOMc_000060_000070.mp4,fly tying
260,03iHI2ejjHw_000000_000010.mp4,laying stone
261,03lYMw1Gwds_000000_000010.mp4,jumping bicycle
262,03pp9QhInVs_000013_000023.mp4,jaywalking
263,03qW_zSdFDM_000020_000030.mp4,wading through water
264,04JbK6dTIpI_000010_000020.mp4,huddling
265,04PqCMltDTA_000000_000010.mp4,roasting marshmallows
266,04aOhZs4ILI_000004_000014.mp4,photobombing
267,04cmjqMSZBc_000130_000140.mp4,clam digging
268,0556EWLhn1s_000025_000035.mp4,sipping cup
269,056XrDq_9Ew_000122_000132.mp4,weaving fabric
270,05dk-P9wPK4_000000_000010.mp4,roasting marshmallows
271,05gve-1I2cc_000232_000242.mp4,putting on lipstick
272,05lmdfsBoww_000075_000085.mp4,arguing
273,06D4y3zL7KE_000370_000380.mp4,playing polo
274,06IXe-DCOro_000000_000010.mp4,throwing knife
275,06Os7LK22cA_000001_000011.mp4,walking through snow
276,06_LoIvrKn8_000000_000010.mp4,card throwing
277,06iPCL48kwM_000080_000090.mp4,laying concrete
278,06mmnNek1kY_000215_000225.mp4,directing traffic
279,06peFeFTnDU_000000_000010.mp4,battle rope training
280,073ppSMhFfE_000026_000036.mp4,laying tiles
281,074OW6ogmXg_000056_000066.mp4,fixing bicycle
282,07ga6m_Fw2Q_000086_000096.mp4,home roasting coffee
283,07hL1IZmXa0_000001_000011.mp4,falling off bike
284,07uhLc_ISgc_000000_000010.mp4,visiting the zoo
285,08785dzI9_I_000020_000030.mp4,land sailing
286,08GBrY1FZLk_000023_000033.mp4,card throwing
287,08KmA8BLnuM_000037_000047.mp4,wood burning (art)
288,08TZ_gD0E3s_000155_000165.mp4,combing hair
289,08dTJHiAVt4_000206_000216.mp4,marriage proposal
290,091Yg6C0cPw_000672_000682.mp4,blowing bubble gum
291,09Gw76vSDHg_000022_000032.mp4,chopping meat
292,09ciI8Ry7wk_000000_000010.mp4,raising eyebrows
293,09qWKqE1YZw_000000_000010.mp4,raising eyebrows
294,09uuyDQ2LLc_000004_000014.mp4,falling off chair
295,0A2Cv8giqRo_000310_000320.mp4,looking at phone
296,0A8d23WeHjo_000018_000028.mp4,adjusting glasses
297,0Abr6i3IkBk_000136_000146.mp4,swinging baseball bat
298,0Aip_xxpia4_000243_000253.mp4,installing carpet
299,0AwckfLZWOY_000000_000010.mp4,huddling
300,0AwmXIGBkRQ_000271_000281.mp4,cosplaying
301,0B1c4SvVOug_000819_000829.mp4,photocopying
302,0B89pAC3mlQ_000032_000042.mp4,trimming shrubs
303,0Bh9az2AABg_000078_000088.mp4,playing laser tag
304,0BkyYjapkzU_000000_000010.mp4,photobombing
305,0C0jY_WFZLA_000148_000158.mp4,dyeing eyebrows
306,0C2jpHmRTaM_000145_000155.mp4,dyeing eyebrows
307,0CCpdTHV9No_000294_000304.mp4,carving ice
308,0CF-ot-mwXY_000022_000032.mp4,visiting the zoo
309,0CQynAkpySg_000035_000045.mp4,arguing
310,0CoSxaJIETs_000006_000016.mp4,breaking boards
311,0CxWYFGE5Gs_000000_000010.mp4,putting on sari
312,0Cyoavthm6s_000024_000034.mp4,square dancing
313,0DCN8L320Wo_000007_000017.mp4,putting on shoes
314,0DPk2B5JQB4_000000_000010.mp4,wading through water
315,0DUUlTQ-drg_000140_000150.mp4,playing darts
316,0DWI649E-60_000087_000097.mp4,using a microscope
317,0DWdmYO419Y_000000_000010.mp4,staring
318,0DYfwcgRS2k_000043_000053.mp4,packing
319,0Dpu73q3uLs_000028_000038.mp4,swimming front crawl
320,0E6G4cu3Y2Q_000199_000209.mp4,roasting marshmallows
321,0EDHT3Ardgg_000011_000021.mp4,using a power drill
322,0EUUD8NdG7s_000005_000015.mp4,huddling
323,0EjCNMKowcg_000025_000035.mp4,roasting marshmallows
324,0FEHfKvIJrU_000000_000010.mp4,casting fishing line
325,0FHSwRT59Ok_000002_000012.mp4,carving ice
326,0FgRpIcswww_000018_000028.mp4,bouncing on bouncy castle
327,0Gr9e5IPGsc_000000_000010.mp4,mushroom foraging
328,0Gz9LF8cEZk_000000_000010.mp4,opening wine bottle
329,0HFjWmf-LvE_000000_000010.mp4,looking at phone
330,0HMx8cPuhYA_000000_000010.mp4,fly tying
331,0HQKyPDyhTs_000012_000022.mp4,cracking knuckles
332,0HlgAG0raO8_000005_000015.mp4,throwing knife
333,0I9kg5dYJa0_000122_000132.mp4,longboarding
334,0IE6R_Q7vxc_000052_000062.mp4,steer roping
335,0IO7PUoWC10_000079_000089.mp4,opening door
336,0J3erNl06i0_000000_000010.mp4,land sailing
337,0JIWk0f0P0k_000010_000020.mp4,roasting marshmallows
338,0JKxRv-9T8k_000046_000056.mp4,ice swimming
339,0JrOW-Q13ys_000021_000031.mp4,lawn mower racing
340,0Jv3V5uYjNs_000008_000018.mp4,looking at phone
341,0K3sBWgJZsg_000161_000171.mp4,using a power drill
342,0KC359631os_000000_000010.mp4,pushing wheelbarrow
343,0KGSqz5B894_000057_000067.mp4,staring
344,0KK-YrxZMMs_000001_000011.mp4,carving ice
345,0KcoMK_tGW0_000007_000017.mp4,longboarding
346,0KjEzZWre1k_000003_000013.mp4,passing soccer ball
347,0L1tzX4WbIg_000000_000010.mp4,opening door
348,0L5w_V5BJk4_000002_000012.mp4,cracking knuckles
349,0LFo7fTSzMA_000102_000112.mp4,dyeing eyebrows
350,0LZus_IXiVA_000011_000021.mp4,steer roping
351,0Ldjg8187sM_000015_000025.mp4,card throwing
352,0LsLP9DWt8k_000000_000010.mp4,tie dying
353,0MB4n2uArq4_000011_000021.mp4,mushroom foraging
354,0MXTvS3ubTs_000009_000019.mp4,bull fighting
355,0Mdq-f9o1xs_000316_000326.mp4,mushroom foraging
356,0N1hCj8RgHY_000026_000036.mp4,using a power drill
357,0NTVR6bQ-FM_000474_000484.mp4,tightrope walking
358,0Nd0Mr-3usQ_000019_000029.mp4,building lego
359,0NeyCbXbbYo_000059_000069.mp4,ice swimming
360,0O6p3nVrcsQ_000262_000272.mp4,using a microscope
